# text = One of Sherlock Holmes's defects—if, indeed, one may call it a defect—was that he was exceedingly loath to communicate his full plans to any other person until the instant of their fulfilment.
One	SBJ	def-np.poss	?OLD	
of				
Sherlock				
Holmes	other_3	ne	?OLD	
's				
defects	other_2	def-np.poss	?OLD	
—if				
,				
indeed				
,				
one	SBJ			
may				
call				
it	OBJ	pron.pper	?OLD	
a				
defect	SBJ_2	indef-np.a		
—was				
that				
he	SBJ_3	pron.pper	?OLD	
was				
exceedingly				
loath				
to				
communicate				
his	other_5	pron.ppos	?OLD	
full				
plans	OBJ_4	def-np.poss	?OLD	
to				
any				
other				
person	other_4	indef-np.a		
until				
the				
instant	other_4	def-np.poss	?OLD	
of				
their	other_6	pron.ppos	?OLD	
fulfilment	other_5	def-np.poss	?OLD	
.			

# text = Partly it came no doubt from his own masterful nature, which loved to dominate and surprise those who were around him.
Partly				
it	SBJ	pron.pper	?OLD	
came				
no				
doubt				
from				
his	other_2	pron.ppos	?OLD	
own				
masterful				
nature	other	def-np.poss	?OLD	
,				
which	SBJ_3			
loved				
to				
dominate				
and				
surprise				
those	OBJ_5	pron.pds	?OLD	
who	SBJ_7			
were				
around				
him	other_6	pron.pper	?OLD	
.			

# text = Partly also from his professional caution, which urged him never to take any chances.
Partly				
also				
from				
his	other	pron.ppos	?OLD	
professional				
caution	other	def-np.poss	?OLD	
,				
which	SBJ_2			
urged				
him	OBJ_2	pron.pper	?OLD	
never				
to				
take				
any				
chances	OBJ_3	indef-np.a		
.			

# text = The result, however, was very trying for those who were acting as his agents and assistants.
The				
result	SBJ	def-np.the	?OLD	
,				
however				
,				
was				
very				
trying				
for				
those	other	pron.pds	?OLD	
who	SBJ_3			
were				
acting				
as				
his	other_4	pron.ppos	?OLD	
agents	other_3	def-np.poss	?OLD	
and				
assistants	other_4	indef-np.bare		
.			

# text = I had often suffered under it, but never more so than during that long drive in the darkness.
I	SBJ	pron.pper	?OLD	
had				
often				
suffered				
under				
it	other	pron.pper	?OLD	
,				
but				
never				
more				
so				
than				
during				
that				
long				
drive	other	def-np.dem	?OLD	
in				
the				
darkness	other_2	def-np.the	?OLD	
.			

# text = The great ordeal was in front of us; at last we were about to make our final effort, and yet Holmes had said nothing, and I could only surmise what his course of action would be.
The				
great				
ordeal	SBJ	def-np.the	?OLD	
was				
in				
front	other	def-np.poss	?OLD	
of				
us	other	pron.pper	?OLD	
;				
at				
last				
we	SBJ_2	pron.pper	?OLD	
were				
about				
to				
make				
our	other_3	pron.ppos	?OLD	
final				
effort	OBJ_2	def-np.poss	?OLD	
,				
and				
yet				
Holmes	SBJ_2	indef-np.bare		
had				
said				
nothing	OBJ_2	pron	?OLD	
,				
and				
I	SBJ_4	pron.pper	?OLD	
could				
only				
surmise				
what	OBJ_4	pron.pint		
his	other_7	pron.ppos	?OLD	
course	SBJ_6	def-np.poss	?OLD	
of				
action	other_7	indef-np.bare		
would				
be				
.			

# text = My nerves thrilled with anticipation when at last the cold wind upon our faces and the dark, void spaces on either side of the narrow road told me that we were back upon the moor once again.
My	other_2	pron.ppos	?OLD	
nerves	SBJ	def-np.poss	?OLD	
thrilled				
with				
anticipation	other	indef-np.bare		
when				
at				
last				
the				
cold				
wind	other_2	def-np.the	?OLD	
upon				
our	other_4	pron.ppos	?OLD	
faces	other_3	def-np.poss	?OLD	
and				
the				
dark				
,				
void				
spaces	other_4	def-np.the	?OLD	
on				
either				
side	other_5	indef-np		
of				
the				
narrow				
road	other_6	def-np.the	?OLD	
told				
me	OBJ_2	pron.pper	?OLD	
that				
we	SBJ_3	pron.pper	?OLD	
were				
back				
upon				
the				
moor	other_2	def-np.the	?OLD	
once				
again				
.			

# text = Every stride of the horses and every turn of the wheels was taking us nearer to our supreme adventure.
Every				
stride	other	indef-np		
of				
the				
horses	other	def-np.the	?OLD	
and				
every				
turn	SBJ_2	indef-np		
of				
the				
wheels	other_3	def-np.the	?OLD	
was				
taking				
us	OBJ_2	pron.pper	?OLD	
nearer				
to				
our	other_4	pron.ppos	?OLD	
supreme				
adventure	other_3	def-np.poss	?OLD	
.			

# text = Our conversation was hampered by the presence of the driver of the hired wagonette, so that we were forced to talk of trivial matters when our nerves were tense with emotion and anticipation.
Our	other_2	pron.ppos	?OLD	
conversation	SBJ	def-np.poss	?OLD	
was				
hampered				
by				
the				
presence	other	def-np.the	?OLD	
of				
the				
driver	other_2	def-np.the	?OLD	
of				
the				
hired				
wagonette	other_3	def-np.the	?OLD	
,				
so				
that				
we	SBJ_2	pron.pper	?OLD	
were				
forced				
to				
talk				
of				
trivial				
matters	other_3	indef-np.bare		
when				
our	other_5	pron.ppos	?OLD	
nerves	SBJ_4	def-np.poss	?OLD	
were				
tense				
with				
emotion	other_4	indef-np.bare		
and				
anticipation	other_5	indef-np.bare		
.			

# text = It was a relief to me, after that unnatural restraint, when we at last passed Frankland's house and knew that we were drawing near to the Hall and to the scene of action.
It	SBJ	pron.pper	?OLD	
was				
a				
relief	other	indef-np.a		
to				
me	other	pron.pper	?OLD	
,				
after				
that				
unnatural				
restraint	other	def-np.dem	?OLD	
,				
when				
we	SBJ_2	pron.pper	?OLD	
at				
last				
passed				
Frankland	other_3	ne	?OLD	
's				
house	OBJ_2	def-np.poss	?OLD	
and				
knew				
that				
we	SBJ_4	pron.pper	?OLD	
were				
drawing				
near				
to				
the				
Hall	other_4	ne	?OLD	
and				
to				
the				
scene	other_4	def-np.the	?OLD	
of				
action	other_5	indef-np.bare		
.			

# text = We did not drive up to the door but got down near the gate of the avenue.
We	SBJ	pron.pper	?OLD	
did				
not				
drive				
up				
to				
the				
door	other	def-np.the	?OLD	
but				
got				
down				
near				
the				
gate	other_2	def-np.the	?OLD	
of				
the				
avenue	other_3	def-np.the	?OLD	
.			

# text = The wagonette was paid off and ordered to return to Coombe Tracey forthwith, while we started to walk to Merripit House.
The				
wagonette	SBJ	def-np.the	?OLD	
was				
paid				
off				
and				
ordered				
to				
return				
to				
Coombe	other_3	ne	?OLD	
Tracey				
forthwith				
,				
while				
we	SBJ_2	pron.pper	?OLD	
started				
to				
walk				
to				
Merripit				
House	other_3	ne	?OLD	
.			

--
# text = "Are you armed, Lestrade?"
&quot;				
Are				
you	SBJ	pron.pper	?OLD	
armed				
,				
Lestrade	other	ne	?OLD	
?				
&quot;			

# text = The little detective smiled.
The				
little				
detective	other	def-np.the	?OLD	
smiled				
.			

--
# text = \"As long as I have my trousers I have a hip-pocket, and as long as I have my hip-pocket I have something in it.\"
&quot;				
As				
long				
as				
I	SBJ_2	pron.pper	?OLD	
have				
my	other_3	pron.ppos	?OLD	
trousers	OBJ_2	def-np.poss	?OLD	
I	SBJ_4	pron.pper	?OLD	
have				
a				
hip				
_				
pocket	OBJ_4	indef-np.a		
,				
and				
as				
long				
as				
I	SBJ_7	pron.pper	?OLD	
have				
my	other_9	pron.ppos	?OLD	
hip				
_				
pocket	OBJ_7	indef-np.bare		
I	SBJ_9	pron.pper	?OLD	
have				
something	OBJ_9	pron	?OLD	
in				
it	other_10	pron.pper	?OLD	
.				
&quot;			

--
# text = "Good!
&quot;				
Good				
!			

--
# text = My friend and I are also ready for emergencies."
My	other_2	pron.ppos	?OLD	
friend	SBJ	def-np.poss	?OLD	
and				
I	other_2	pron.pper	?OLD	
are				
also				
ready				
for				
emergencies	other	indef-np.bare		
.				
&quot;			

--
# text = "You're mighty close about this affair, Mr. Holmes.
&quot;				
You	SBJ_2	pron.pper	?OLD	
're				
mighty				
close				
about				
this				
affair	other_2	def-np.dem	?OLD	
,				
Mr.	other	ne	?OLD	
Holmes				
.			

--
# text = What's the game now?"
What	other	pron.pint		
's				
the				
game	SBJ	def-np.the	?OLD	
now				
?				
&quot;			

--
# text = \"A waiting game.\"
&quot;				
A				
waiting				
game	other	indef-np.a		
.				
&quot;			

--
# text = "My word, it does not seem a very cheerful place," said the detective with a shiver, glancing round him at the gloomy slopes of the hill and at the huge lake of fog which lay over the Grimpen Mire.
&quot;				
My	other_3	pron.ppos	?OLD	
word	SBJ_2	def-np.poss	?OLD	
,				
it	SBJ_2	pron.pper	?OLD	
does				
not				
seem				
a				
very				
cheerful				
place	OBJ_2	indef-np.a		
,				
&quot;				
said				
the				
detective	SBJ	def-np.the	?OLD	
with				
a				
shiver	other_2	indef-np.a		
,				
glancing				
round				
him	OBJ_3	pron.pper	?OLD	
at				
the				
gloomy				
slopes	other_3	def-np.poss	?OLD	
of				
the				
hill	other_4	ne	?OLD	
and				
at				
the				
huge				
lake	other_3	def-np.the	?OLD	
of				
fog	other_4	indef-np.bare		
which	SBJ_5			
lay				
over				
the				
Grimpen				
Mire	other_5	ne	?OLD	
.			

--
# text = \"I see the lights of a house ahead of us.\"
&quot;				
I	SBJ	pron.pper	?OLD	
see				
the				
lights	OBJ	def-np.the	?OLD	
of				
a				
house	other_2	def-np.poss	?OLD	
ahead				
of				
us	other_3	pron.pper	?OLD	
.				
&quot;			

--
# text = "That is Merripit House and the end of our journey.
&quot;				
That	SBJ	pron.pds	?OLD	
is				
Merripit				
House	other	ne	?OLD	
and				
the				
end	other	def-np.poss	?OLD	
of				
our	other_3	pron.ppos	?OLD	
journey	other_2	def-np.poss	?OLD	
.			

--
# text = I must request you to walk on tiptoe and not to talk above a whisper.\"
I	SBJ	pron.pper	?OLD	
must				
request				
you	OBJ	pron.pper	?OLD	
to				
walk				
on				
tiptoe	other_2	indef-np.bare		
and				
not				
to				
talk				
above				
a				
whisper	other_4	indef-np.a		
.				
&quot;			

# text = We moved cautiously along the track as if we were bound for the house, but Holmes halted us when we were about two hundred yards from it.
We	SBJ	pron.pper	?OLD	
moved				
cautiously				
along				
the				
track	other	def-np.the	?OLD	
as				
if				
we	SBJ_2	pron.pper	?OLD	
were				
bound				
for				
the				
house	other_2	def-np.the	?OLD	
,				
but				
Holmes	SBJ_2	ne	?OLD	
halted				
us	OBJ_2	pron.pper	?OLD	
when				
we	SBJ_3	pron.pper	?OLD	
were				
about				
two				
hundred				
yards	other_2	indef-np.quant		
from				
it	other_3	pron.pper	?OLD	
.			

--
# text = \"This will do,\" said he.
&quot;				
This	SBJ_2	pron.pds	?OLD	
will				
do				
,				
&quot;				
said				
he	SBJ	pron.pper	?OLD	
.			

--
# text = \"These rocks upon the right make an admirable screen.\"
&quot;				
These				
rocks	SBJ	def-np.dem	?OLD	
upon				
the				
right	other_2	def-np.the	?OLD	
make				
an				
admirable				
screen	OBJ	indef-np.a		
.				
&quot;			

--
# text = "We are to wait here?"
&quot;				
We	SBJ	pron.pper	?OLD	
are				
to				
wait				
here				
?				
&quot;			

--
# text = "Yes, we shall make our little ambush here.
&quot;				
Yes				
,				
we	SBJ	pron.pper	?OLD	
shall				
make				
our	other_2	pron.ppos	?OLD	
little				
ambush	OBJ	def-np.poss	?OLD	
here				
.			

# text = Get into this hollow, Lestrade.
Get				
into				
this				
hollow	other	def-np.dem	?OLD	
,				
Lestrade	other_2	ne	?OLD	
.			

# text = You have been inside the house, have you not, Watson?
You	SBJ	pron.pper	?OLD	
have				
been				
inside				
the				
house	other	def-np.the	?OLD	
,				
have				
you	SBJ_2	pron.pper	?OLD	
not				
,				
Watson	other	ne	?OLD	
?			

# text = Can you tell the position of the rooms?
Can				
you	SBJ	pron.pper	?OLD	
tell				
the				
position	OBJ	def-np.the	?OLD	
of				
the				
rooms	other_2	def-np.the	?OLD	
?			

--
# text = What are those latticed windows at this end?\"
What	other	pron.pint		
are				
those				
latticed				
windows	SBJ	def-np.dem	?OLD	
at				
this				
end	other_2	def-np.dem	?OLD	
?				
&quot;			

--
# text = \"I think they are the kitchen windows.\"
&quot;				
I	SBJ	pron.pper	?OLD	
think				
they	SBJ_2	pron.pper	?OLD	
are				
the				
kitchen				
windows	other	def-np.the	?OLD	
.				
&quot;			

--
# text = \"And the one beyond, which shines so brightly?\"
&quot;				
And				
the				
one				
beyond	other	def-np.quant	?OLD	
,				
which	SBJ_2			
shines				
so				
brightly				
?				
&quot;			

--
# text = "That is certainly the dining-room."
&quot;				
That	SBJ	pron.pds	?OLD	
is				
certainly				
the				
dining				
_				
room	other	def-np.the	?OLD	
.				
&quot;			

--
# text = \"The blinds are up.
&quot;				
The				
blinds	SBJ	def-np.the	?OLD	
are				
up				
.			

# text = You know the lie of the land best.
You	SBJ	pron.pper	?OLD	
know				
the				
lie	OBJ	def-np.the	?OLD	
of				
the				
land				
best				
.			

--
# text = Creep forward quietly and see what they are doing—but for heaven's sake don't let them know that they are watched!"
Creep				
forward				
quietly				
and				
see				
what	OBJ_3	pron.pint		
they	SBJ_3	pron.pper	?OLD	
are				
doing				
—but				
for				
heaven	other_5	indef-np.bare		
's				
sake	other_4	def-np.poss	?OLD	
do				
n't				
let				
them	OBJ_4	pron.pper	?OLD	
know				
that				
they	SBJ_6	pron.pper	?OLD	
are				
watched				
!				
&quot;			

# text = I tiptoed down the path and stooped behind the low wall which surrounded the stunted orchard.
I	SBJ	pron.pper	?OLD	
tiptoed				
down				
the				
path	OBJ	def-np.the	?OLD	
and				
stooped				
behind				
the				
low				
wall	other_2	def-np.the	?OLD	
which	SBJ_4			
surrounded				
the				
stunted				
orchard	OBJ_4	def-np.the	?OLD	
.			

# text = Creeping in its shadow I reached a point whence I could look straight through the uncurtained window.
Creeping				
in				
it	SBJ_2	pron.pper	?OLD	
s				
shadow	other	indef-np.bare		
I	SBJ_3	pron.pper	?OLD	
reached				
a				
point				
whence	OBJ_3	indef-np.a		
I	SBJ_5	pron.pper	?OLD	
could				
look				
straight				
through				
the				
uncurtained				
window	other_5	def-np.the	?OLD	
.			

# text = There were only two men in the room, Sir Henry and Stapleton.
There				
were				
only				
two				
men	SBJ	indef-np.quant		
in				
the				
room	other_2	def-np.the	?OLD	
,				
Sir	other_2	ne	?OLD	
Henry				
and				
Stapleton	other_2	ne	?OLD	
.			

# text = They sat with their profiles towards me on either side of the round table.
They	SBJ	pron.pper	?OLD	
sat				
with				
their	other_3	pron.ppos	?OLD	
profiles	other_2	def-np.poss	?OLD	
towards				
me	other	pron.pper	?OLD	
on				
either				
side	other	indef-np		
of				
the				
round				
table	other_2	def-np.the	?OLD	
.			

# text = Both of them were smoking cigars, and coffee and wine were in front of them.
Both	SBJ	def-np.poss	?OLD	
of				
them	other_2	pron.pper	?OLD	
were				
smoking				
cigars	OBJ	indef-np.bare		
,				
and				
coffee	SBJ_2	indef-np.bare		
and				
wine	other_3	indef-np.bare		
were				
in				
front	other	def-np.poss	?OLD	
of				
them	other_2	pron.pper	?OLD	
.			

# text = Stapleton was talking with animation, but the baronet looked pale and distrait.
Stapleton	SBJ	ne	?OLD	
was				
talking				
with				
animation	other	indef-np.bare		
,				
but				
the				
baronet	SBJ_2	def-np.the	?OLD	
looked				
pale	OBJ_2	indef-np.bare		
and				
distrait	other_3	indef-np.bare		
.			

# text = Perhaps the thought of that lonely walk across the ill-omened moor was weighing heavily upon his mind.
Perhaps				
the				
thought	SBJ	def-np.poss	?OLD	
of				
that				
lonely				
walk	other_2	def-np.dem	?OLD	
across				
the				
ill				
_				
omened				
moor	other_2	def-np.the	?OLD	
was				
weighing				
heavily				
upon				
his	other_2	pron.ppos	?OLD	
mind	other	def-np.poss	?OLD	
.			

# text = As I watched them Stapleton rose and left the room, while Sir Henry filled his glass again and leaned back in his chair, puffing at his cigar.
As				
I	SBJ	pron.pper	?OLD	
watched				
them	OBJ	pron.pper	?OLD	
Stapleton	SBJ_2	ne	?OLD	
rose				
and				
left				
the				
room	OBJ_2	def-np.the	?OLD	
,				
while				
Sir	SBJ_2	ne	?OLD	
Henry				
filled				
his	other_3	pron.ppos	?OLD	
glass	OBJ_2	def-np.poss	?OLD	
again				
and				
leaned				
back				
in				
his	other_4	pron.ppos	?OLD	
chair	other_3	def-np.poss	?OLD	
,				
puffing				
at				
his	other_4	pron.ppos	?OLD	
cigar	other_3	def-np.poss	?OLD	
.			

# text = I heard the creak of a door and the crisp sound of boots upon gravel.
I	SBJ	pron.pper	?OLD	
heard				
the				
creak	OBJ	def-np.the	?OLD	
of				
a				
door	other_2	indef-np.a		
and				
the				
crisp				
sound	other_2	def-np.the	?OLD	
of				
boots	other_3	indef-np.bare		
upon				
gravel	other_4	indef-np.bare		
.			

# text = The steps passed along the path on the other side of the wall under which I crouched.
The				
steps	SBJ	def-np.the	?OLD	
passed				
along				
the				
path	other	def-np.the	?OLD	
on				
the				
other				
side	other_2	def-np.the.other	?OLD	
of				
the				
wall	other_3	def-np.the	?OLD	
under				
which				
I	SBJ_2	pron.pper	?OLD	
crouched				
.			

# text = Looking over, I saw the naturalist pause at the door of an out-house in the corner of the orchard.
Looking				
over				
,				
I	SBJ	pron.pper	?OLD	
saw				
the				
naturalist				
pause	OBJ	def-np.the	?OLD	
at				
the				
door	other	def-np.the	?OLD	
of				
an				
out				
_				
house	other_2	indef-np.a		
in				
the				
corner	other_3	def-np.the	?OLD	
of				
the				
orchard	other_4	def-np.the	?OLD	
.			

# text = A key turned in a lock, and as he passed in there was a curious scuffling noise from within.
A				
key	SBJ	indef-np.a		
turned				
in				
a				
lock	other	indef-np.a		
,				
and				
as				
he	SBJ_3	pron.pper	?OLD	
passed				
in				
there				
was				
a				
curious				
scuffling				
noise	other	indef-np.a		
from				
within	other	indef-np.bare		
.			

# text = He was only a minute or so inside, and then I heard the key turn once more and he passed me and re-entered the house.
He	SBJ	pron.pper	?OLD	
was				
only				
a				
minute	other	indef-np.a		
or				
so				
inside				
,				
and				
then				
I	SBJ_2	pron.pper	?OLD	
heard				
the				
key				
turn	OBJ_2	def-np.the	?OLD	
once				
more				
and				
he	SBJ_2	pron.pper	?OLD	
passed				
me	OBJ_2	pron.pper	?OLD	
and				
re-entered				
the				
house	OBJ_3	def-np.the	?OLD	
.			

# text = I saw him rejoin his guest, and I crept quietly back to where my companions were waiting to tell them what I had seen.
I	SBJ	pron.pper	?OLD	
saw				
him	OBJ	pron.pper	?OLD	
rejoin				
his	other_2	pron.ppos	?OLD	
guest	other	def-np.poss	?OLD	
,				
and				
I	SBJ_2	pron.pper	?OLD	
crept				
quietly				
back				
to				
where				
my	other_5	pron.ppos	?OLD	
companions	SBJ_4	def-np.poss	?OLD	
were				
waiting				
to				
tell				
them	OBJ_5	pron.pper	?OLD	
what	OBJ_6	pron.pint		
I	SBJ_6	pron.pper	?OLD	
had				
seen				
.			

--
# text = "You say, Watson, that the lady is not there?"
&quot;				
You	SBJ	pron.pper	?OLD	
say				
,				
Watson	other	ne	?OLD	
,				
that				
the				
lady	SBJ_3	def-np.the	?OLD	
is				
not				
there	other_2	pron.padv	?OLD	
?				
&quot;			

# text = Holmes asked, when I had finished my report.
Holmes	SBJ	indef-np.bare		
asked				
,				
when				
I	SBJ_2	pron.pper	?OLD	
had				
finished				
my	other_3	pron.ppos	?OLD	
report	OBJ_2	def-np.poss	?OLD	
.			

--
# text = \"No.\" \"Where can she be, then, since there is no light in any other room except the kitchen?\"
&quot;				
No				
.				
&quot;				
&quot;				
Where				
can				
she	SBJ	pron.pper	?OLD	
be				
,				
then				
,				
since				
there				
is				
no				
light	SBJ_2	indef-np.quant		
in				
any				
other				
room	other_3	indef-np.a		
except				
the				
kitchen	other_4	def-np.the	?OLD	
?				
&quot;			

--
# text = "I cannot think where she is."
&quot;				
I	SBJ	pron.pper	?OLD	
can				
not				
think				
where	other	pron.pint		
she	SBJ_3	pron.pper	?OLD	
is				
.				
&quot;			

# text = I have said that over the great Grimpen Mire there hung a dense, white fog.
I	SBJ	pron.pper	?OLD	
have				
said				
that				
over				
the				
great				
Grimpen				
Mire	SBJ_2	ne	?OLD	
there				
hung				
a				
dense	OBJ_2	indef-np.a		
,				
white				
fog	other_3	indef-np.bare		
.			

# text = It was drifting slowly in our direction, and banked itself up like a wall on that side of us, low, but thick and well defined.
It	SBJ	pron.pper	?OLD	
was				
drifting				
slowly				
in				
our	other_2	pron.ppos	?OLD	
direction	other	def-np.poss	?OLD	
,				
and				
banked				
itself	OBJ_2			
up				
like				
a				
wall	other_2	indef-np.a		
on				
that				
side	other_3	def-np.dem	?OLD	
of				
us	other_4	pron.pper	?OLD	
,				
low				
,				
but				
thick				
and				
well				
defined				
.			

# text = The moon shone on it, and it looked like a great shimmering ice-field, with the heads of the distant tors as rocks borne upon its surface.
The				
moon				
shone	other	def-np.the	?OLD	
on				
it	other	pron.pper	?OLD	
,				
and				
it	SBJ_2	pron.pper	?OLD	
looked				
like				
a				
great				
shimmering				
ice				
_				
field	other_2	indef-np.a		
,				
with				
the				
heads	other	def-np.the	?OLD	
of				
the				
distant				
tors	other_2	def-np.the	?OLD	
as				
rocks	other	indef-np.bare		
borne				
upon				
its	other_4	pron.ppos	?OLD	
surface	other_3	def-np.poss	?OLD	
.			

# text = Holmes's face was turned towards it, and he muttered impatiently as he watched its sluggish drift.
Holmes	other_2	ne	?OLD	
's				
face	SBJ	def-np.poss	?OLD	
was				
turned				
towards				
it	other	pron.pper	?OLD	
,				
and				
he	SBJ_2	pron.pper	?OLD	
muttered				
impatiently				
as				
he	SBJ_3	pron.pper	?OLD	
watched				
its	other_4	pron.ppos	?OLD	
sluggish				
drift	OBJ_3	def-np.poss	?OLD	
.			

--
# text = "It's moving towards us, Watson."
&quot;				
It	SBJ	pron.pper	?OLD	
's				
moving				
towards				
us	other	pron.pper	?OLD	
,				
Watson	other_2	ne	?OLD	
.				
&quot;			

--
# text = "Is that serious?"
&quot;				
Is				
that	SBJ	pron.pds	?OLD	
serious				
?				
&quot;			

--
# text = "Very serious, indeed—the one thing upon earth which could have disarranged my plans.
&quot;				
Very				
serious				
,				
indeed				
—the				
one				
thing	other	def-np	?OLD	
upon				
earth	other	indef-np.bare		
which	SBJ_2			
could				
have				
disarranged				
my	other_3	pron.ppos	?OLD	
plans	OBJ_2	def-np.poss	?OLD	
.			

# text = He can't be very long, now.
He	SBJ	pron.pper	?OLD	
ca				
n't				
be				
very				
long				
,				
now				
.			

# text = It is already ten o'clock.
It	SBJ	pron.pper	?OLD	
is				
already				
ten				
o'clock	other	indef-np.quant		
.			

--
# text = Our success and even his life may depend upon his coming out before the fog is over the path."
Our	other_2	pron.ppos	?OLD	
success	SBJ	def-np.poss	?OLD	
and				
even				
his	other_4	pron.ppos	?OLD	
life	SBJ_3	def-np.poss	?OLD	
may				
depend				
upon				
his	SBJ_4	pron.pper	?OLD	
coming				
out				
before				
the				
fog	other_4	def-np.the	?OLD	
is				
over				
the				
path	other	def-np.the	?OLD	
.				
&quot;			

# text = The night was clear and fine above us.
The				
night	SBJ	def-np.the	?OLD	
was				
clear				
and				
fine				
above				
us	other_2	pron.pper	?OLD	
.			

# text = The stars shone cold and bright, while a half-moon bathed the whole scene in a soft, uncertain light.
The				
stars				
shone	other	def-np.the	?OLD	
cold				
and				
bright				
,				
while				
a				
half				
_				
moon	SBJ_2	indef-np.a		
bathed				
the				
whole				
scene	OBJ_2	def-np.the	?OLD	
in				
a				
soft				
,				
uncertain				
light	other_2	indef-np.a		
.			

# text = Before us lay the dark bulk of the house, its serrated roof and bristling chimneys hard outlined against the silver-spangled sky.
Before				
us	SBJ_2	pron.pper	?OLD	
lay				
the				
dark				
bulk	OBJ_2	def-np.the	?OLD	
of				
the				
house	other_3	def-np.the	?OLD	
,				
it	SBJ	pron.pper	?OLD	
s				
serrated				
roof	other	indef-np.bare		
and				
